actividad_economica_ciiu,total_accidentes,promedio_trabajadores,promedio_accidentes_anual,tasa_accidentabilidad
Construcción,291805.0,660782.7,29180.5,4.416050843946127
"Actividades inmobiliarias, empresariales y de alquiler",284937.0,959501.5916666667,28493.7,2.9696355115478315
Industrias manufactureras,261022.0,540040.9833333333,26102.2,4.833373911529369
"Transporte, almacenamiento y comunicaciones",180416.0,425086.76666666666,18041.6,4.244215867144927
"Agricultura, ganadería, caza y silvicultura",150336.0,394071.425,15033.6,3.8149429383264724
"Comercio, reparación de vehículos y otros",136330.0,828286.125,13633.0,1.6459288147558913
Hoteles y restaurantes,122778.0,276369.93333333335,12277.8,4.442523776706052
Enseñanza,101698.0,442841.275,10169.8,2.2964887362859296
Servicios sociales y de salud,80633.0,353385.025,8063.3,2.2817322267688054
Administración publica y defensa - planes de seguridad social,52142.0,414358.1458333333,5214.2,1.2583799914234823
"Otras actividades de servicios comunitarios, sociales y personales",41284.0,295551.625,4128.4,1.39684564414085
Intermediación financiera,32959.0,191021.85833333334,3295.9,1.7254046362844253
Pesca,20161.0,46204.941666666666,2016.1,4.363386095246305
Hogares privados con servicio doméstico,14015.0,211966.63333333333,1401.5,0.6611889701508052
Explotación de minas y canteras,8524.0,70773.58333333333,852.4,1.2044041856483647
"Suministro de electricidad, gas y agua",5987.0,34826.225,598.7,1.7191067938026592
Organizaciones y órganos extraterritoriales,64.0,981.5,6.4,0.65206316861946
