tamano_de_empresa,total_accidentes,promedio_trabajadores,promedio_accidentes_anual,tasa_accidentabilidad
"""1000 y más""",255244.0,1621189.0208333333,25524.4,1.5744246767030161
"""200-499""",124413.0,682535.2708333334,12441.3,1.8228068982881924
"""50-100""",94189.0,476640.2291666667,9418.9,1.9761026081385369
"""10-25""",93073.0,573047.7708333334,9307.3,1.6241752387353685
"""101-199""",91601.0,471032.5208333333,9160.1,1.944685259479386
"""1-9""",83485.0,999980.0208333334,8348.5,0.834866679940543
"""500-999""",83452.0,542194.0416666666,8345.2,1.539153763908478
"""26-49""",78893.0,412260.7291666667,7889.3,1.9136675996152313
"""Sin información""",2619.0,46534.145833333336,261.9,0.5628125225249021
