anio,accidentes_mujeres,accidentes_hombres,promedio_mujeres,promedio_hombres,tasa_mujeres,tasa_hombres
2015,82648.0,150017.0,2255551.0833333335,3392431.25,3.6642043095676575,4.422108775233101
2016,84397.0,147202.0,2277878.0,3458551.0833333335,3.705071123212042,4.256175388282179
2017,82622.0,142081.0,2345041.6666666665,3466275.6666666665,3.5232636236029924,4.098952699184244
2018,79844.0,138158.0,2460588.0,3645338.25,3.2449154429754192,3.7899912305805916
2019,80853.0,136958.0,2701908.9166666665,3732773.8333333335,2.992439882087069,3.6690677259087443
2020,46787.0,106042.0,2741660.5,3713928.8333333335,1.7065205556997303,2.8552512651359816
2021,61008.0,125204.0,2864966.75,3866043.4166666665,2.1294487972678913,3.2385564906033024
2022,83009.0,131531.0,3055343.8333333335,3992348.5833333335,2.716846434577494,3.294577045428752
2023,83503.0,123944.0,3102974.5833333335,3966957.25,2.6910629706253633,3.1244097727546722
2024,84327.0,116456.0,3133359.5833333335,3958891.6666666665,2.691264687543176,2.941631390940646
